app,lang,reviews,install,minInstall,maxInstall,score,ratings,reviews,hist1,hist2,hist3,hist4,hist5
com-ladytimer-ovulationcalendar,xh,6197,"5,000,000+",5000000,"5,000,000+",4.8121605,85002,2542,914,822,1561,6643,75032
com-ladytimer-ovulationcalendar,pt-BR,5252,5.000.000+,5000000,5.000.000+,4.8121605,85002,2542,914,822,1561,6643,75032
com-ladytimer-ovulationcalendar,oc,2400,5 000 000+,5000000,5 000 000+,4.8121605,85002,2542,914,822,1561,6643,75032
com-ladytimer-ovulationcalendar,bs,2,5.000.000+,5000000,5.000.000+,4.8121605,85002,2542,914,822,1561,6643,75032
com-ladytimer-ovulationcalendar,uz,2,5 000 000+,5000000,5 000 000+,4.8121605,85002,2542,914,822,1561,6643,75032
com-ladytimer-ovulationcalendar,ti,6197,"5,000,000+",5000000,"5,000,000+",4.8121605,85002,2542,914,822,1561,6643,75032
com-ladytimer-ovulationcalendar,th,336,"5,000,000+",5000000,"5,000,000+",4.8121605,85002,2542,914,822,1561,6643,75032
com-ladytimer-ovulationcalendar,ca,8,5.000.000+,5000000,5.000.000+,4.8121605,85002,2542,914,822,1561,6643,75032
com-ladytimer-ovulationcalendar,ro,163,5.000.000+,5000000,5.000.000+,4.8121605,85002,2542,914,822,1561,6643,75032
com-ladytimer-ovulationcalendar,sk,31,5 000 000+,5000000,5 000 000+,4.8121605,85002,2542,914,822,1561,6643,75032
com-ladytimer-ovulationcalendar,id,513,5.000.000+,5000000,5.000.000+,4.8121605,85002,2542,914,822,1561,6643,75032
com-ladytimer-ovulationcalendar,hu,65,5 000 000+,5000000,5 000 000+,4.8121605,85002,2542,914,822,1561,6643,75032
com-ladytimer-ovulationcalendar,fi,20,5 000 000+,5000000,5 000 000+,4.8121605,85002,2542,914,822,1561,6643,75032
com-ladytimer-ovulationcalendar,da,11,5.000.000+,5000000,5.000.000+,4.8121605,85002,2542,914,822,1561,6643,75032
com-ladytimer-ovulationcalendar,es,5124,5.000.000+,5000000,5.000.000+,4.8121605,85002,2542,914,822,1561,6643,75032
com-ladytimer-ovulationcalendar,ko,17,"5,000,000+",5000000,"5,000,000+",4.8121605,85002,2542,914,822,1561,6643,75032
com-ladytimer-ovulationcalendar,it,423,5.000.000+,5000000,5.000.000+,4.8121605,85002,2542,914,822,1561,6643,75032
com-ladytimer-ovulationcalendar,sm,6197,"5,000,000+",5000000,"5,000,000+",4.8121605,85002,2542,914,822,1561,6643,75032
com-ladytimer-ovulationcalendar,sl,3,5.000.000+,5000000,5.000.000+,4.8121605,85002,2542,914,822,1561,6643,75032
com-ladytimer-ovulationcalendar,de,1217,5.000.000+,5000000,5.000.000+,4.8121605,85002,2542,914,822,1561,6643,75032
com-ladytimer-ovulationcalendar,pt-PT,5252,5.000.000+,5000000,5.000.000+,4.8121605,85002,2542,914,822,1561,6643,75032
com-ladytimer-ovulationcalendar,iw,2,"+5,000,000",5000000,"+5,000,000",4.8121605,85002,2542,914,822,1561,6643,75032
com-ladytimer-ovulationcalendar,et,2,5 000 000+,5000000,5 000 000+,4.8121605,85002,2542,914,822,1561,6643,75032
com-ladytimer-ovulationcalendar,fo,11,5.000.000+,5000000,5.000.000+,4.8121605,85002,2542,914,822,1561,6643,75032
com-ladytimer-ovulationcalendar,fy,70,5.000.000+,5000000,5.000.000+,4.8121605,85002,2542,914,822,1561,6643,75032
com-ladytimer-ovulationcalendar,hr,14,5.000.000+,5000000,5.000.000+,4.8121605,85002,2542,914,822,1561,6643,75032
com-ladytimer-ovulationcalendar,ia,6197,"5,000,000+",5000000,"5,000,000+",4.8121605,85002,2542,914,822,1561,6643,75032
com-ladytimer-ovulationcalendar,jw,513,5.000.000+,5000000,5.000.000+,4.8121605,85002,2542,914,822,1561,6643,75032
com-ladytimer-ovulationcalendar,eo,6197,"5,000,000+",5000000,"5,000,000+",4.8121605,85002,2542,914,822,1561,6643,75032
com-ladytimer-ovulationcalendar,su,513,5.000.000+,5000000,5.000.000+,4.8121605,85002,2542,914,822,1561,6643,75032
com-ladytimer-ovulationcalendar,en,6197,"5,000,000+",5000000,"5,000,000+",4.8121605,85002,2542,914,822,1561,6643,75032
com-ladytimer-ovulationcalendar,ja,6,"5,000,000+",5000000,"5,000,000+",4.8121605,85002,2542,914,822,1561,6643,75032
com-ladytimer-ovulationcalendar,hi,2,"5,000,000+",5000000,"5,000,000+",4.8121605,85002,2542,914,822,1561,6643,75032
com-ladytimer-ovulationcalendar,el,38,5.000.000+,5000000,5.000.000+,4.8121605,85002,2542,914,822,1561,6643,75032
com-ladytimer-ovulationcalendar,gd,6197,"5,000,000+",5000000,"5,000,000+",4.8121605,85002,2542,914,822,1561,6643,75032
com-ladytimer-ovulationcalendar,sv,63,5 000 000+,5000000,5 000 000+,4.8121605,85002,2542,914,822,1561,6643,75032
com-ladytimer-ovulationcalendar,pl,383,5 000 000+,5000000,5 000 000+,4.8121605,85002,2542,914,822,1561,6643,75032
com-ladytimer-ovulationcalendar,fa,2,+۵٬۰۰۰٬۰۰۰,5000000,+۵٬۰۰۰٬۰۰۰,4.8121605,85002,2542,914,822,1561,6643,75032
com-ladytimer-ovulationcalendar,ga,6197,"5,000,000+",5000000,"5,000,000+",4.8121605,85002,2542,914,822,1561,6643,75032
com-ladytimer-ovulationcalendar,fr,2400,5 000 000+,5000000,5 000 000+,4.8121605,85002,2542,914,822,1561,6643,75032
com-ladytimer-ovulationcalendar,sr,12,5.000.000+,5000000,5.000.000+,4.8121605,85002,2542,914,822,1561,6643,75032
com-ladytimer-ovulationcalendar,ru,2096,5 000 000+,5000000,5 000 000+,4.8121605,85002,2542,914,822,1561,6643,75032
com-ladytimer-ovulationcalendar,lt,2,5 000 000+,5000000,5 000 000+,4.8121605,85002,2542,914,822,1561,6643,75032
com-ladytimer-ovulationcalendar,bh,2,"5,000,000+",5000000,"5,000,000+",4.8121605,85002,2542,914,822,1561,6643,75032
com-ladytimer-ovulationcalendar,tr,237,5.000.000+,5000000,5.000.000+,4.8121605,85002,2542,914,822,1561,6643,75032
